"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"16","65","Deadline","Jeremy Gerard","April 23rd, 2017","It<U+2019>s goofy, loud and imaginative<U+2014>superlatively so...It<U+2019>s not as theatrically inventive as 'Matilda,' and it probably won<U+2019>t share that show<U+2019>s canny ability to appeal to adults as well as kids...The supporting cast does well by the Shaiman and Wittman numbers, which fill out the characters with considerable humor...The moments of pleasure for this adult viewer were decidedly scattershot...Grown-ups will serve their purpose as ticket buyers, and their tykes will get the sugar rush.","="
"17","70","Theater In The Now","Michael Block","May 2nd, 2017","This musical confection spins a flavor that can only be described as modern...If you're looking to throw your cares away and just have fun, there's nothing more tantalizing...But if a well-structured, smartly planned musical is what you seek, this show swings for the fences and strikes out often...The new music is vibrant, modern, and earworm-worthy...The libretto was overstuffed...This show was all about the visuals, treading the fine line of homage and originality.","="
"18","20","Chicago Tribune","Chris Jones","April 23rd, 2017","A deeply disappointing musical...You do get flashes of Dahl's brand of caustic fun. For a few seconds. They're gone with the snap of a light cue or a bit of a sugar-free trick...It's emblematic of how a musical with unlimited imaginative potential never fully decided whether this was to be a retro experience or a cultural probing of the moment. Either one could have worked. But not without that moment when a world of sugar unfolds, and a boy's aching heart almost stops.","="
"19","35","Newsday","Linda Winer","April 23rd, 2017","For a musical about the wonder of pure imagination, 'Charlie and the Chocolate Factory' is bizarrely lacking in it...It<U+2019>s almost painful to watch Borle, a master of endearing virtuosity, work so hard to sell charm that simply isn<U+2019>t in the script, the music and too much of the staging...The show is saccharine and soporific. David Greig<U+2019>s book feels forced, and the intentionally nasty bits about fat Bavarian children, Russian megalomaniacs, etc., feel more gratuitous than satirical.","="
"20","65","The Wrap","Robert Hofler","April 23rd, 2017","I<U+2019>ve never witnessed such a second-act reversal of fortune...Only in retrospective can you see glimmers of hope in the musical<U+2019>s desultory first half. Just one song hits the mark...What<U+2019>s great about Act 2 is that...Borle as Wonka occupies center stage and never lets go...He makes us forget about both Johnny Depp and Gene Wilder. Of course, it<U+2019>s not all Borle. His Wonka material is good. So, too, are the staging of the multiple deaths by candy overload.","="
"21","75","Front Mezz Junkies","Steven Ross","April 23rd, 2017","This musical is as sweet and charming as can be, with a gleefully dose of wickedness that isn<U+2019>t too dark or deadly...The production whistles along quite competently hitting all the right notes of wonder, sweetness, and more importantly, devilishness when the recipe starts feeling a bit too sweet...I can<U+2019>t say this musical is a revelation in any way, and at times the story lacked a strong drive forward...I was never bored, but I can<U+2019>t say I was fully engaged with my heart or my soul.","="
"22","45","WNBC","Robert Kahn","April 23rd, 2017","More often than it should, 'Charlie' fails children when trying to speak to adults, and vice versa...An inability to hit the right tone and sustain it is a serious problem...The music is a combination of other songs from the film and mostly bland new work by Marc Shaiman and Scott Wittman...For all its attempts to recreate the delight of Roald Dahl<U+2019>s story, it left me with something of a toothache.","="
"23","35","Theater Pizzazz","Sandi Durell","April 28th, 2017","Much has gone awry with the weird humor and horror that now becomes a fudged version of itself...The standouts are the Oompa Loompas...Although I know Borle as a top-notch actor, he fails to impress in this misbegotten role...Who<U+2019>s at fault  Greig<U+2019>s book  O<U+2019>Brien<U+2019>s interpretation  Perhaps more pure imagination would have served this family musical better. But, instead, we are left with a bittersweet taste<U+2014>this could have been more.","="
"24","40","NJ.com","Christopher Kelly","April 25th, 2017","A hot mess of a Broadway musical: loud, crass, and deeply confused about the point of its source material...When you compound Dahl's cynicism with garden variety vulgarity, the result is toxic...Borle plays Wonka with a kind of passive-aggressive detachment that is both off-putting and dull...Yet as much as this show veers all over the place, and as chintzy as Mark Thompson's sets sometimes appear, 'Charlie and the Chocolate Factory' features its share arresting weirdness and wonder.","="
"25","80","Front Row Center","Sarah Downs","April 28th, 2017","This adaptation, with just a few blips, rises to the occasion...Act I at moments lacks vitality, as if the muted colors have at times muted the action. Act II fares better, with dazzling color and a faster pace...A marvel of theatricality, with a great voice and a gift for physical comedy, Borle gives an electric performance of unflagging energy...O<U+2019>Brien has directed an eccentric, entertaining, and at times dazzling production of a timeless story audiences will take to heart.","="
