"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"225","90","During previews Great acting, Intelligent, Thought-provoking, Relevant, Great writing  Albee_Addict",""," April 21st, 2017","See it if you appreciate an extremely thought provoking treatise on marriage and societal roles, performed by actors at their best.","Don't see it if you do not want to think while at the theater."
"226","89","During previews Clever, Great acting, Thought-provoking, Relevant, Great writing  Sheldon C",""," April 21st, 2017","See it if you enjoy a thought-provoking and dialogue-driven play that is minimal in its design in order to create a space for the actors to shine.","Don't see it if you don't like plays that cover important topical issues that provoke, or if you are not open-minded. And also are against sequels."
"227","87","During previews Absorbing, Clever, Great acting, Thought-provoking, Riveting  Mark J.",""," April 20th, 2017","See it if You like great theatre. Seriously, I haven't spoken to a single person who doesn't like this play. 90 minutes pack a wallop","Don't see it if You haven't read a Doll's House by Ibsen.=Also There are those who say that you don't need knowledge of Ibsen's original play to enjoy this, but it helps a lot. It's a great play, though, so reading it for homework is worth it because a) it's a great read b) will make you seem worldly wise and c) will help you appreciate this knockout show. Chris Cooper keeps it from getting a higher score....<U+00A0>Read more Read less"
"228","95","During previews Great acting, Refreshing, Relevant, Riveting, Hilarious  meccentric",""," April 20th, 2017","See it if You enjoy language! All four actors here are masters.","Don't see it if A non-musical isn't stimulating enough for you.=Also Don't worry about knowing A Doll's House! Just scan a quick synopsis on Wikipedia and you'll be set....<U+00A0>Read more Read less="
"229","80","During previews Funny, Great acting, Great staging  David F 6360",""," April 20th, 2017","See it if you enjoy great performances with actors fully giving it their all.","Don't see it if the script is not the strongest part.=Also Knowledge of A Doll's House will deepen your relationship with this play. The performances are top notch....<U+00A0>Read more Read less"
"230","88","During previews Funny, Absorbing, Great acting, Intelligent, Thought-provoking  Hilary 6",""," April 20th, 2017","See it if Are interested in a sequel to A Doll's House, appreciate witty dialogue and great acting","Don't see it if You have never seen A Doll's House, are impatient with plays that are all dialogue and no action"
"231","95","During previews Absorbing, Clever, Thought-provoking  MICHAEL 703839",""," April 20th, 2017","See it if You enjoy clever dialogue and excellent acting.","Don't see it if you're bothered by a play driven by dialogue and anachronisms."
"232","85","During previews Clever, Intelligent, Thought-provoking, Relevant, Resonant  Panda",""," April 19th, 2017","See it if you like feminist plays. You're curious what might have happened after Ibsen's  A Doll's House  (this play stands well on its own though).","Don't see it if you want period pieces to be staged traditionally (costumes are traditional; set, language, & accents are not). You need subtext.=Also You don't need to know Ibsen's  A Doll's House  to enjoy this play; this picks up 15 yrs after that ends.Chris Cooper is fantastic. He makes Torvald into a much more sympathetic character than he was in Ibsen's play; you can feel his pain. (I wonder if people in the way back could hear him clearly though.)Laurie Metcalf was good, but she played Nora a bit superficially. Maybe that was the director's choice. Maybe that's because the script failed to make her sympathetic in later scenes (esp w/her daughter). Whatever the reason, I could feel no inner struggle in Nora even though her lines said it was there.Lucas Hnath's writing is good, I just wish he'd fleshed out the ending more. A lot of emotional complexity & dramatic potential was unrealized, esp btwn Nora & her daughter, & in the last scene w/her husband.Still, I really enjoyed the feminist angle & the very valid points made about marriage being historically (it often still is) structured to men's advantage....<U+00A0>Read more Read less="
"233","82","During previews Funny, Clever, Great acting, Entertaining  Ron J",""," April 19th, 2017","See it if You want to see a modern version of an old story done with humor, and great acting.","Don't see it if You don't want to see a strong woman do just what she wants despite the consequences."
"234","90","During previews Funny, Clever, Great acting, Intelligent, Resonant  JK Hannah",""," April 19th, 2017","See it if you're fond of the original script and wondered how Nora would respond if she was a modern day woman...","Don't see it if you have not read A Doll's House by Henrik Ibsen..."
