"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"3256","100","Absorbing, Ambitious, Epic, Exquisite, Profound  Romy 2",""," April 26th, 2017","See it if You have a pulse.","Don't see it if You have no interest in history, theater, music or brilliance."
"3257","100","Absorbing, Ambitious, Clever, Great acting, Entertaining  Kellie 7116","  On","See it if You love rap","Don't see it if None, see it",""
"3258","97","Absorbing, Delightful, Great writing, Entertaining, Great staging  Denise 6048","  On","See it if You have never seen a Broadway show ! It's the best !!","Don't see it if See it see it !!",""
"3259","99","Absorbing, Enchanting, Exquisite, Great acting, Great writing  Molly W 7116","  On","See it if You like history","Don't see it if you hate rap",""
"3260","100","Ambitious, Edgy, Exquisite, Intelligent, Must see  Kyra L 7116","  On","See it if you want an amazing way to see history in a whole new light.","Don't see it if you don't like the rap style",""
"3261","100","Ambitious, Epic, Intelligent, Masterful, Must see  Christopher M 7116",""," April 26th, 2017","See it if Just see it. It's everything you've heard x10.","Don't see it if You just can't possibly bring yourself to sit through one most ground breaking musical of our time."
"3262","100","Absorbing, Ambitious, Intense, Thought-provoking, Great singing  mady 7115","  On","See it if You love history, are into musicals, and find story plot lines interesting. Amazingly written, beautiful Modern masterpiece","Don't see it if You dislike wrap, musicals, historic plays",""
"3263","97","Funny, Absorbing, Intelligent, Must see, Great singing  Ann M 7115","  On","See it if you like history, amazing music and rapping, and inspiring stories","Don't see it if you are a child (definitely a PG13 play), you're looking for something magical or light",""
"3264","96","Absorbing, Great acting, Must see, Hilarious, Great singing  NancyMae M","  On","See it if You like rap/hiphop, history(to some extent), fast paced story, and heavy storyline.","Don't see it if You're looking for a classic broadway show, if you're not one for loud noises, or you have to have exact history facts (not all accurate).",""
"3265","100","Absorbing, Exquisite, Riveting, Entertaining, Great singing  Jasmine F 7115",""," April 25th, 2017","See it if You consider yourself a historian, have an immense love for Lin Manuel Miranda's songwriting, and love everything Hamilton!","Don't see it if There's no reason not to see it! Unless you can't get tickets..."
"3266","100","Absorbing, Clever, Relevant, Great writing, Great staging  Kathryn 7035",""," April 25th, 2017","See it if You are interested in history, or you HATED history in school.","Don't see it if You really, really have no patience for any kind of rap music. It's not all rap by any means, but there is enough to annoy certain people."
"3267","100","Clever, Intelligent, Must see  Alan 7115","  On","See it if you love clever, well-written lyrics.","Don't see it if you're disinterested in history",""
"3268","96","Clever, Refreshing, Entertaining  Angela 7115",""," April 25th, 2017","See it if you love hip hop, revolutionary music","Don't see it if you don't like rap or hiphop"
"3269","100","Absorbing, Must see  Elizabeth P 7115",""," April 25th, 2017","See it if If you love a good musical with laughs, cries, and amazing songs, I suggest you see this show!","Don't see it if Don't see it if you're boring and not a fan of musicals."
"3270","100","Absorbing, Ambitious, Clever, Delightful, Great singing  Malorie K","  On","See it if Just go see it","Don't see it if Literally just go see it",""
"3271","100","Absorbing, Delightful, Thought-provoking, Entertaining, Great singing  Jewel S 7115",""," April 25th, 2017","See it if you love history and musicals!","Don't see it if you don't like drama or history"
"3272","96","Masterful  Raquel C 7115","  On","See it if YOU LOVE MUSICALS BECAUSE YOU ARE GOIN TO LOVE IT","Don't see it if YOU MUST SEE IT, NOT EXCUSES",""
"3273","100","Clever, Thought-provoking, Relevant, Riveting, Great writing  Tom Rice",""," April 24th, 2017","See it if you can get tickets.","Don't see it if you don't have an appetite for history="
"3274","100","Absorbing, Clever, Delightful, Intelligent, Great singing  Holly 7114",""," April 24th, 2017","See it if You are into clever historical perfection. Its the best thing youll ever see","Don't see it if If you cant stand hip hop"
"3275","100","Clever, Enchanting, Must see, Profound, Relevant  Katii T","  On","See it if You want to see a true masterpiece","Don't see it if You don't want to expand your mind.",""
"3276","100","Intelligent, Profound, Relevant, Great singing, Great staging  MasonGalvez","  On","See it if You like nonstop music, brilliant choreography, and intelligent lyrics.","Don't see it if You dislike history or rap",""
"3277","100","Clever, Epic, Intelligent, Masterful, Profound  Natalia S 7114",""," April 24th, 2017","See it if You enjoy history or are looking for a new type of musical.","Don't see it if You dislike history or don't enjoy rap/hip-hop."
"3278","100","Absorbing, Exquisite, Great acting, Entertaining, Great singing  Carol 7114","  On","See it if Loved it, could be the best show I have seen!","Don't see it if Can't think of a reason not to see it.",""
"3279","100","Ambitious, Edgy, Great acting, Must see, Profound  TheatreGuy 7114",""," April 24th, 2017","See it if want to see a show that has forever transformed the theatre experience. Modern art in its best form. A must see!","Don't see it if you are not open minded or appreciate new art forms of storytelling."
"3280","100","Absorbing, Epic, Intelligent, Intense, Great singing  Christine 7114","  On","See it if You love history and want to learn more!","Don't see it if You don't like hip hop",""
"3281","100","Ambitious, Must see, Entertaining, Great staging  Steffi S",""," April 24th, 2017","See it if You enjoy history and an intelligent look into pop culture you may have never encountered before.","Don't see it if You don't like your views to be challenged in a way that is entertaining, heart breaking, and necessary to our social political climate."
"3282","100","Masterful, Must see, Great writing  James R 614417",""," April 24th, 2017","See it if you love the future of Broadway and want to be transported.","Don't see it if are not open to all styles of music."
"3283","100","Clever, Delightful, Enchanting, Exquisite, Entertaining  Louie G",""," April 23rd, 2017","See it if YOU HAVE TO SEE IT ITS AMAZING","Don't see it if There is no reason not to"
"3284","100","Absorbing, Clever, Delightful, Epic, Entertaining  Johmi V","  On","See it if you absolutely enjoy being wow'd by an amazing cast of people and love good music!","Don't see it if If you absolutely hate Hamilton and history",""
"3285","100","Delightful, Enchanting, Must see, Entertaining, Great staging  Gary W 7113","  On","See it if Your ready to be out your seats with enjoyment","Don't see it if Your living under a rock",""
"3286","100","Ambitious, Romantic, Great writing, Entertaining, Great singing  Grace N 7113","  On","See it if You want to see the founding of our country in a new unique way","Don't see it if You don't want to pay a lot of money",""
"3287","100","Great acting, Overrated, Entertaining, Great singing  Dawn 7113","  On","See it if The show is absolutely amazing. The actors are enthralling and you'll be on the edge of your seat at all times.","Don't see it if I completely recommend this show.",""
"3288","100","Ambitious, Delightful, Enchanting, Epic, Great writing  Caitlin C 7113","  On","See it if You love history, and new takes on old cliches","Don't see it if You don't like rap, or can't see past the suspense of belief.",""
"3289","100","Absorbing, Clever, Masterful, Profound, Relevant  Eric 7113","  On","See it if You are a human being, on earth. You will love it.","Don't see it if You don't enjoy excellent art.",""
"3290","100","Clever, Edgy, Epic, Must see, Riveting  Lyndsey M","  On","See it if Just see it!","Don't see it if Just see it!!",""
"3291","100","Epic, Great acting, Must see, Entertaining, Great singing  Mariah H","  On","See it if You love the songs","Don't see it if If you don't love the songs",""
"3292","98","Absorbing, Ambitious, Intelligent, Masterful, Great staging  Davidian",""," April 23rd, 2017","See it if if you can afford the tickets","Don't see it if you hate hip hop and don't like to work when you go to the theater="
"3293","100","Clever, Great acting, Great writing, Great singing, Great staging  Miranda J",""," April 23rd, 2017","See it if you enjoy diversity in broadway and Lin Manuel <3","Don't see it if you don't enjoy historical plays being not necessarily 100% historically accurate, or diversity"
"3294","100","Absorbing, Ambitious, Clever  Kate A 7113",""," April 23rd, 2017","See it if You want to see the best show to hit the stage. It is the most clever, innovative show in years. It definitely live up to the hype.","Don't see it if You do not like to be entertained."
"3295","100","Ambitious, Great acting, Great writing, Great singing, Great staging  Emma C 7113",""," April 23rd, 2017","See it if you love happiness","Don't see it if you hate love"
"3296","100","Clever, Delightful, Great acting, Great writing, Great singing  Hannah D 7113",""," April 23rd, 2017","See it if you like to be","Don't see it if you don't like musicals"
"3297","100","Epic, Great acting, Masterful, Riveting, Entertaining  Amanda 7113","  On","See it if You love History","Don't see it if You don't like History",""
"3298","100","Masterful, Must see, Riveting, Great singing, Great staging  KD92",""," April 22nd, 2017","See it if You love modern music and history.","Don't see it if You dislike rap music."
