"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"368","50","Disappointing, Overrated, Great staging, Tired, Aged poorly  vfd88",""," June 9th, 2016","See it if Your favorite thing about a musical is good dancing.","Don't see it if You want a riveting night at the theater.  The show has been around for a while and it shows.  Stick to the movie.="
"369","70","Intelligent, Raunchy, Refreshing, Dated, Great staging  B6159",""," June 7th, 2016","See it if You already love it, and can stand a little darkness in your musical theater.","Don't see it if You are looking for something well-rounded that appeals to lots of different excitements.="
"370","87","Funny, Entertaining  Alejandro P",""," June 6th, 2016","See it if enjoy dancing, and classic musical theatre.","Don't see it if you want a huge set with lots of moving parts.="
"371","83","Clever, Intelligent, Must see  Roger W 6128",""," June 4th, 2016","See it if you love Kander and Ebb or Bob Fosse","Don't see it if you don't like good musicals"
"372","90","Funny, Clever, Great writing, Entertaining, Great singing  Kellie C 6154",""," June 2nd, 2016","See it if You love the Jazz era of music and dancing.  This has great classic songs, and is a fun, entertaining evening.","Don't see it if you are looking for a clean, family show.  There are dirty jokes, and scantily clad women."
"373","85","Absorbing, Clever, Enchanting, Masterful, Entertaining  Darryl N",""," June 2nd, 2016","See it if you are seeking quintessential Broadway experience","Don't see it if you cannot overlook a dated production="
"374","50","Disappointing, Slow, Dated, Soft, Could be so much better  Emily C 6154",""," June 2nd, 2016","See it if you like music and aren't particular on how it is performed","Don't see it if if you like shows where the actors, do not act with velvet gloves.  There was so much that they could have done to make it pop but didn't="
"375","96","Original, Great writing, Entertaining, Classic  Bml59",""," May 30th, 2016","See it if You want to see one of the best all around musicals of the 20th century. A well written book with a classic Broadway score by Kander and Ebb","Don't see it if You're expecting an extravaganza with lot's of scenery & costumes.  This show relys on the book, music & choreography to tell the story.="
"376","87","Thought-provoking, Relevant, Dated, Entertaining, Vaudeville  Juan G",""," May 26th, 2016","See it if You enjoy the classic work of Kander and Ebb and like a darker musical with a witty script","Don't see it if You want a family friendly show="
"377","89","Delightful, Intelligent, Masterful, Must see, Entertaining  Jordon H",""," May 23rd, 2016","See it if You love classic musicals and want to catch a true classic!","Don't see it if There's really no reason not to see it!="
"378","84","Funny, Edgy, Epic, Refreshing, Entertaining  Krloz Ruben",""," May 22nd, 2016","See it if seen it 5 times... and counting! Every time you see it, there's something different to love about 'Chicago'!","Don't see it if you think is the movie on stage. Bare sets. Use of imagination is highly required.="
