"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"181","73","During previews Disappointing, Predictable, Slow, Entertaining, Middling  Gil K",""," April 22nd, 2017","See it if It's entertaining enough with great costumes, clever sets (projections) and really great talent.","Don't see it if Most of the music is melancholic (not romantic) almost whiny. Plot has so little tension. Lacks any suspense or anything to root for.=Also The show's main problems are the lack of any suspense on the plot and the music.Such an interminable string of slow woe-is-me songs on the first act. No melody (except for movie's  Once Upon A December ) is really moving or emotionally engaging.The plot has so little tension that any resolution comes almost unnoticed. The  villain  creates no suspense in the story. His  investigation  is unknown to the main characters (who suffer no fear nor tension from it) and his resolution is so inconsequential (and historically absurd) that it becomes as boring and needless as his ballads. That role should have been scraped before it got to NY. Karimloo is awkwardly miscast. His voice in no way harmonizes with the other actors' whose voices do create a unified musical whole. Though all other singers are exceptional (music and lyrics notwithstanding) Klena is the greatest revelation of this show. Looking forward to his future projects....<U+00A0>Read more Read less="
"182","71","During previews Delightful, Romantic, Confusing, Great singing, Great use of projections  AngryGreg1979",""," April 20th, 2017","See it if You want a light hearted family friendly romantic show with a good score and a solid cast. It's not magical, but it's lovely.","Don't see it if One incongruous character/subplot will completely turn you off. The 'villain' was waste of space and stage time.="
"183","92","During previews Romantic, Great staging, Delectable, Exquisite projections, Set, sound and light divine  Jacqueline Parker",""," April 20th, 2017","See it if You want to see most of the creative team from Gentleman's Guide work their magic yet again in a lush and touching historical musical.","Don't see it if You need snap, crackle and pop to make your musicals relevant.=Also This is the most exquisite show I've ever seen. One of the delights of the afternoon's performance was hearing the reactions of the young girls in the audience as they oooo'd and ahhh'd at appropriate moments--it made it all the more special for us. Most of us know the premise here, and it's worth revisiting because it resonates with romance and true family connection. The set, which includes projections, was absolutely jaw-dropping, and the costumes were so exquisite I couldn't take my eyes from them. The leads are all wonderful, but the real treat were John Bolton and Caroline O'Connor. Bolton never fails to deliver much more than one can reasonably expect, and O'Connor, while new to me, I'm looking forward to seeing again in other shows.If you have children, especially girls, who've outgrown Lion King, this show is perfect for them. It teaches history as well, and opens up many paths for serious discussion afterwards. I was almost weeping at the from the sheer beauty of it all...<U+00A0>Read more Read less="
"184","66","During previews Disappointing, Cliched, Great singing  Tsar",""," April 20th, 2017","See it if If you like the music of the original film; some nice production values (but not very creative). Teens/young adults seemed to love it.","Don't see it if It takes a long time to get going. Some of the characters (includ. Anastasia) lacked depth and were more cartoonish than in the film version=Also Maybe it is just me but is there something really wrong about making a commercial enterprise and disneyfying the image of a girl who it is now known that was brutally murdered ...<U+00A0>Read more Read less="
"185","86","During previews Enchanting, Entertaining, Great singing, Gorgeous costumes  Jodi",""," April 19th, 2017","See it if You love a show with fantastic singing, beautiful costumes and beautiful scenery. Much of the scenes are computer generated but it works!","Don't see it if You're going to see Ramin Karimloo. I love him, he was a bit under utilized. His voice is glorious and he doesn't have a great somy to shine="
"186","65","During previews Romantic, Disappointing, Cliched, Insipid, Talented cast  Joseph 2",""," April 19th, 2017","See it if you are looking for a competent, well-produced traditional musical that might be suitable for older children.","Don't see it if you are looking for something fresh or challenging or if you have an aversion to power ballads.="
"187","69","During previews Disappointing, Overrated, Slow, Entertaining, Fluffy  Brendon NYC",""," April 17th, 2017","See it if The costumes are beautiful, the projections are VERY well done. Mary Beth Piel is wonderful & likely to get a tony nomination.","Don't see it if Act 1 is VERY slow & tedious. Many of the new songs are dull. Didn't feel emotionally invested in the characters/story (w/exception of Piel)=Also This is a nice show and Act 2 is a vast improvement on Act 1. I found Gleb's character to be completely unnecessary and just added minutes to the runtime. I felt like I was watching an early preview or out of town tryout. There is a basis of a good musical here but it needs reworking....<U+00A0>Read more Read less="
"188","50","During previews Great singing  Ryan L 6131",""," April 17th, 2017","See it if You love the source material... it's half great and half bad. Mostly geared towards the kids but some truly wonderful & beautiful moments","Don't see it if You don't like shows written for kids="
"189","92","During previews Great acting, Entertaining, Beautiful costumes, Lovely score  Mama Rose",""," April 16th, 2017","See it if you like a great score, and want to see a charming cast. Great acting from the 3 principals: Altomare, Klena, & Karimloo.","Don't see it if you don't like the movie score. I loved the score, and liked the changes in plot for stage. The show does need a good trim to get up to 100=Also Although the show is charming, pacing is very slow in sections, but there are a couple of songs that should be trimmed, or cut. They don't move the story forward, and really slow down the show. It ran 2 hours and 40 minutes - so a 20 minute trim would really help. I think it's one of the strongest shows this season and hope it will have a long and successful run. I predict Christie Altomare will get a tony nomination....<U+00A0>Read more Read less="
"190","93","During previews Ambitious, Exquisite, Profound, Riveting, Great singing  Gail 7095",""," April 16th, 2017","See it if You want to see one of the best shows Broadway has to offer. The audience response alone is worth experiencing--it was deafening. Exquisite.","Don't see it if You are not ready to be completely wowed.="
