"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"57","85","CurtainUp","Charles Wright","April 26th, 2017","Equally appealing to the ear and the eye. Since <U+2018>Bandstand<U+2019> is emotionally complex and largely unsentimental, it's likely to connect with the intellect and the heart of spectators of many, perhaps all, ages. But what audiences will remember most is Blankenbuehler's stunning dances performed by a talented corps of idiosyncratic Broadway professionals<U+2026>'Bandstand<U+2019> is superbly cast...A touching, funny, dry martini of a musical.",""
"58","65","Musical Theater Review","Ron Cohen","May 4th, 2017","It<U+2019>s an admirable but disconcertingly disjointed effort...The score is a mixed bag. It captures the driving tempos of the era<U+2019>s big band music, well realized in a plenitude of strong orchestrations. What<U+2019>s missing are the beguiling melodies and the deceptive simplicity of lyrics that transformed so many of the songs from that era into standards...Despite the uneven material, the cast scores its points...For Blankenbuehler, the show is a further validation of his skills.",""
"59","80","StageZine","David NouNou","April 30th, 2017","The joy of experiencing 'Bandstand' is seeing an original musical...The subject matter is familiar but still relevant today...The book seems contrived and you can see how things are going to fall in place. However, the score is transporting and the sound of the big band/swing era is exhilarating...With 'Bandstand' you may feel you<U+2019>ve seen this plot before, but who cares  Among the swing music, vitality, sound, Ms. Osnes and Mr. Cott, it is an evening of sheer delight.",""
"60","60","Theatre Reviews by John Clum","John Clum","May 5th, 2017","The cast is enormously talented<U+2014>some sing, dance, act, and play instruments expertly. The music is catchy and tuneful, if forgettable...The band, onstage and in the pit is excellent...The dancing is fabulous...The fact that the script is so predictable is the show's principal problem. I kept trying to think of ways to make the book more interesting...For all its virtues, 'Bandstand' is saddled with a book that  resembles a 1940s B musical...The war flashbacks are pretty cheesy.",""
"61","85","Pop Dust","Thomas Burns Scully","May 1st, 2017","While it flirts with cliche almost to the point of marriage, 'Bandstand' manages to stay on message and deliver a genuinely heartfelt and affecting story about the greatest generation's return home from World War II...Together this cast keep the energy high and the story blasting forward. Where 'Bandstand' succeeds to its fullest is in the music. Whether it's played by the orchestra or the cast, it's nothing short of perfect...'Bandstand' is so good that you don't think about its blindspots.",""
"62","90","NJ.com","Patrick Maley","April 26th, 2017","It is a stand-up-and-cheer great new musical that should not be missed...A war-story cliche or two might find space in the script...But much of the show's excellence comes from its treatment of the veterans as real people...Wonderful story and performances notwithstanding, much of its dazzle finds root in Andy Blankenbuehler's direction and choreography...It is at bottom an excellent new musical full of wonderful performances and bold, finely crafted music.",""
"63","75","Film Festival Traveler","Kevin Filipski","May 1st, 2017","Sentimental but affecting...Osnes is the emotional center of a show that also generously allows each of the bandsmen to work out his demons by playing the music he loves. And Blankenbuehler has ingeniously visualized those ghosts and the weight on each vet<U+2019>s shoulders with astonishingly effective choreographed movements...Richard Oberacher<U+2019>s toe-tappingly swing-inflected music at times digs into a well of melody and emotion.",""
"64","80","Exeunt Magazine","Alison Durkee","April 28th, 2017","<U+201C>Successfully toes the line between nostalgia and refreshing realism<U+2026>The show<U+2019>s cast manages to capture these characters as both charismatic underdogs and the complex survivors whose joy always has a darker tinge<U+2026>Audiences looking forward to buoyant swing dance numbers won<U+2019>t be let down here<U+2026>The choreography works as an equal collaborator that elevates the book and score<U+2026>The choreography physically expresses the Big Band beats of Oberacker<U+2019>s score.",""
"65","45","LI Herald","Elyse Trevers","May 2nd, 2017","'Bandstand' begins with a promising premise...The musicians are terrific, even those making their acting debuts...Blankenbuehler includes some exciting swing dancing, and there is a creative number featuring dancers who follow the soldiers as if they are shadows of their younger selves in combat...The show goes on too long, with what feels like extraneous scenes and music. What started out so promising in 'Bandstand' gets clich<U+00E9>d in the end.",""
"66","60","ZEALnyc","Sheila Kogan","April 27th, 2017","There are so many elements to be savored...Foremost is the wonderfully inventive choreography...Certainly the concern of American veterans coming back from battle is a timely issue, yet the production never fully engages emotionally...There was a sense of superficiality that things were being hurried along and glossed over. Unhappily, most of the time, there was an overwhelming lack of drama. There were so many elements that I admired, but the show was not a completely satisfying experience.",""
