"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1729","59","Disappointing, Overrated, Classic, Good music, Great dancing  Thomas D 6157",""," August 29th, 2016","See it if you want to see this classic piece on Broadway.","Don't see it if you want to see something fresh!="
"1730","84","Quirky, Meow!  Lisa G 6242",""," August 29th, 2016","See it if great for kids","Don't see it if you hate cats!="
"1731","92","Original, Delightful, Entertaining, Great costumes, Great staging  Julie C 6241","  On","See it if It was great!  a lot of entertainment.","Don't see it if You don't like cats",""
"1732","100","Absorbing, Great acting, Refreshing, Hilarious, Great staging  Brian 6241",""," August 28th, 2016","See it if you want to be entertained","Don't see it if you dont feel you will like it"
"1733","86","Ambitious, Clever, Delightful, Enchanting, Entertaining  Paula A 6241","  On","See it if you love animals","Don't see it if you take small children",""
"1734","100","Enchanting, Intelligent, Profound, Fluffy  Richard I","  On","See it if From beginning to end, the revival of Sir Andrew Lloyd Weber's  CATS, was an experiment in purest joy and rapture---I relived my childhood!","Don't see it if There are no restrictions to this magical tour of epic, feline portent---it was a joyous experience that at times had the audience in tears!",""
"1735","78","Overrated, Great singing, Great staging, Fluffy  Owen See",""," August 28th, 2016","See it if Interesting choreography. Music and music is well integrated into the feline form.","Don't see it if It's dated.="
"1736","89","Clever, Great acting, Masterful, Great singing, Great staging  Amanda K 6240","  On","See it if You want to be pulled into a world many imagine. As well as hear some great songs by great singers.","Don't see it if You don't like cats",""
"1737","82","Ambitious, Delightful, Dated, Entertaining, Great singing  Maddy 6240","  On","See it if You like shows with  short stories.","Don't see it if You want one big epic storyline.",""
"1738","95","Clever, Must see, Refreshing, Resonant, Entertaining  Danielle J 6157","  On","See it if You loved the original or are looking for an entertaining night of theatre!","Don't see it if Just go!",""
"1739","100","Delightful, Great acting, Entertaining, Great singing, Great staging  Mary M 6237",""," August 24th, 2016","See it if I saw the show 3 times before it closed. Each yime I loved it more. My daughter and my brother would love it.","Don't see it if My oldest so wouldn't like it."
"1740","100","Clever, Delightful, Must see, Great singing, Great staging  Robin B 6236","  On","See it if You love great music and amazing dancing! This show is fantastic.","Don't see it if You must see a solid plot line. Cats is based on a book of poems so the plot line is open for interpretation.",""
"1741","100","Delightful  Teree B","  On","See it if In  nyc","Don't see it if On a date",""
"1742","80","Original, Clever, Delightful, Great acting, Must see  Eli 6235","  On","See it if If you like the old possess book of particular cats","Don't see it if If you don't like slow shows",""
"1743","69","Absorbing, Confusing, Overrated, Slow, Entertaining  Lucy Y 6235",""," August 22nd, 2016","See it if You love dancing","Don't see it if You are easily distracted or bored="
"1744","65","Funny, Quirky, Disappointing, Overrated, Dated  Dennis 6235","  On","See it if N/a","Don't see it if N/a",""
"1745","95","Delightful, Must see, Quirky, Entertaining, Great staging  Jennifer 6232","  On","See it if You love amazing dancing and family entertainment.","Don't see it if Prefer shows with deeper plots.",""
"1746","94","Clever, Enchanting, Great acting, Entertaining, Great staging  Ernest T","  On","See it if I loved the acting, set design and music score","Don't see it if I recomend that everyone see it at least once.",""
"1747","100","Original, Absorbing, Clever, Must see, Entertaining  Natasha 6232","  On","See it if You like a big musical with a lot going on","Don't see it if You're weirded out by people dressed up as cats",""
"1748","90","Delightful, Intelligent, Resonant, Great singing, Fluffy  Liz H","  On","See it if You are a feline aficionado. There's great singing and dancing. Also, see it if you are a fan of the pop singer Leona Lewis--she sings well.","Don't see it if You score performers based on one's impeccable acting and emotional presence. Not all of the performers are masters in this arena, yet.",""
"1749","70","Original, Clever, Great costumes  DeborahThomson",""," August 18th, 2016","See it if If you like awesome makeup and costumes","Don't see it if You need a show with a storyline="
"1750","100","Absorbing, Clever, Enchanting, Entertaining, Great singing  Nanette 6231","  On","See it if You love dance, music, and song.","Don't see it if Cab't imagine why you wouldn't want to.",""
"1751","100","Funny, Clever, Delightful, Great acting, Entertaining  Concetta F","  On","See it if You love an Andrew Lloyd Webber show","Don't see it if if you can't stand Andrew Lloyd Webber",""
"1752","100","Clever, Delightful  Deborah 6231","  On","See it if If you want to be awed by the fabulous score talented singers and costume designers, not to mention the makeup!","Don't see it if You hate cats...",""
