"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"153","67","Delightful, Quirky, Romantic, Great singing, Fluffy  Kerri Lauren",""," April 21st, 2017","See it if you like romantic musicals. It's a quirky musical, based on a movie with the same name.","Don't see it if you don't like fluff or quirky musicals or if you like strong female characters. The songs aren't memorable, so you won't leave humming.="
"154","67","Cute, Great staging, Sweet  Brian Oakes",""," April 21st, 2017","See it if you really liked the movie or love Phillipa Soo","Don't see it if you're not into childish and cute types of shows.=Also I really don't know how I feel about this show to be honest.. It was ok, I didn't hate it, I didn't love it. It was worth seeing (tickets bought on discount) To be fair though, I was in the first row of the mezzanine and at 6'3  with no intermission my legs kept cramping up because the rows angle to the side.. so i couldnt truly get comfortable enough to enjoy it....<U+00A0>Read more Read less="
"155","95","Funny, Delightful, Enchanting, Romantic, Entertaining  Elizabeth 6080",""," April 21st, 2017","See it if You loved the movie or love stories about boy meets girl or you love stories about overcoming your fears!","Don't see it if You don't like musicals made from talkies or romance="
"156","73","Delightful, Enchanting, Quirky, Romantic, Great singing  Stephanie D4",""," April 20th, 2017","See it if you prefer highly imaginative staging opposed to ornate sets. Or if you love Phillipa Soo - she's a treasure. Great singing all around.","Don't see it if you LOVED the movie. The first act adheres to the film in ways that miss the mark, but the show comes into its own in the second act.="
"157","85","Delightful, Enchanting, Exquisite  Jen Sandler",""," April 20th, 2017","See it if A whimsical, charming, cute romantic comedy musical.","Don't see it if You want something with depth and memorable songs. Amelie has a cute story but I did not leave remembering anything.="
"158","90","Enchanting, Buoyant, Great singing, Cheerful, Picturesque  DIANE 6242",""," April 20th, 2017","See it if you want to see a delightful and warm-hearted show that sends an uplifting and compassionate message without taking itself too seriously.","Don't see it if you are not a fan of humorously unrealistic props or do not like shows about the beauty and impact of small (and large) acts of kindness.="
"159","82","Funny, Delightful, Enchanting, Quirky, Cute  Nicole Pieri",""," April 20th, 2017","See it if you love Philippa Soo and Adam Chanler-Berat","Don't see it if you're looking for the movie"
"160","87","Clever, Enchanting, Confusing, Great singing, Great staging  A2016",""," April 20th, 2017","See it if You want to see a clever & entertaining adaptation. The score is beautiful and the staging inventive. Unmissable but see the movie first.","Don't see it if You want a storyline that's very clear, the show can be confusing if you've not seen the movie.="
"161","53","Delightful, Romantic, Indulgent, Banal, Great singing  HAPPY",""," April 19th, 2017","See it if You are a movie fun. You are familier in france.","Don't see it if You expect the amelee world like a movie.="
"162","50","Indulgent, Confusing, Disappointing  Paul 6083",""," April 19th, 2017","See it if you would like to see Philippa Soo live.","Don't see it if you want to be entertained. When people devote so much time, effort and money to producing a Broadway musical with all that=Also it entails, I am unhappy in denigrating those efforts. But, what an utter waste. I could not wait to leave the theatre and, unlike others in the audience, I waited until the end....<U+00A0>Read more Read less="
