"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"716","80","Delightful, Cliched, Entertaining, Classic, Great singing  Justin 7068",""," March 9th, 2017","See it if you prefer traditional broadway storylines. carole king's story isn't well known but the storyline follows the classic broadway arc.","Don't see it if you want to see something different. everything about the show is likable but it feels like every other broadway show in a lot of ways.="
"717","100","Absorbing, Delightful, Must see, Entertaining, Great singing  Erika 7066",""," March 7th, 2017","See it if you love singer/songwriters, music of the 60's and 70's, bring your daughter","Don't see it if you're expecting a lot of dancing="
"718","99","Enchanting, Entertaining, Great singing  Denise 7066",""," March 7th, 2017","See it if One of the best plays on Broadway!","Don't see it if You are not a Carol King fan....but who isn't="
"719","90","Delightful, Entertaining, Great singing, Nostalgic, Upbeat  Member 704717",""," March 6th, 2017","See it if You Loved loved loved Carole King growing up and time period musicals.","Don't see it if You don't like the music of the era.="
"720","80","Delightful, Thought-provoking, Refreshing, Riveting  Jared Goerke",""," February 26th, 2017","See it if You are a big fan of Carole King and would love to see the story","Don't see it if You don't like the music of Carole King="
"721","70","Clever, Delightful, Quirky, Overrated, Slow  Annna",""," February 24th, 2017","See it if You like jukebox musicals","Don't see it if You don't know who Carol King is="
"722","95","Great acting, Must see, Relevant, Entertaining, Great singing  GeeOnBroadway",""," February 22nd, 2017","See it if You love Carole King's music","Don't see it if you aren't a fan of Carole King's music..... (but you should still give this show a try!)="
"723","78","Delightful, Entertaining, Fun, Great music, Great singing  mlaurelm",""," February 22nd, 2017","See it if you enjoy fun shows with great music.","Don't see it if you are not interested in  jukebox  musicals.="
"724","96","Thought-provoking, Relevant, Entertaining, Great singing  Debra 7052",""," February 21st, 2017","See it if You love Carole King","Don't see it if You are not a fan of this era's music and its history="
"725","85","Tuneful fun  John 6282",""," February 20th, 2017","See it if you want to see/hear the life of a great songwriter","Don't see it if you don't like music="
"726","100","Delightful, Great acting, Entertaining, Great singing, Great staging  George B 6105",""," February 17th, 2017","See it if Excellent. Great singing and great story","Don't see it if Nothing negative="
"727","100","Absorbing, Great acting, Masterful, Must see, Great singing  ZaraTheWhale",""," February 15th, 2017","See it if you love Carole King! The perfect underdog story, even Carole King fans will be amazed how many songs they didn't know she wrote!","Don't see it if you don't enjoy a variety of music, you aren't a fan of Carole King's style, or you enjoy shows that are only light and fluffy.="
"728","75","Funny, Enchanting, Relevant, Charming, Great singing  steph_1317",""," February 11th, 2017","See it if you like biographical musicals, strong female characters, Carole King.","Don't see it if you don't like jukebox musicals. It's not super groundbreaking as far as musicals go, but it's pretty feel-good by the end.="
"729","93","Absorbing, Entertaining, Great singing  Dylan 7040",""," February 9th, 2017","See it if you love Carole King music or music from that era.","Don't see it if you hate jukebox musicals.="
"730","100","Must see, Entertaining, Great singing, Great staging, Biopic  Leslie K 3",""," February 9th, 2017","See it if You are a fan of Carole King...experience her life story from 16 to Carnegie Hall...gorgeous show!","Don't see it if You are not a fan of older music from the 60's and 70's...="
"731","93","Delightful, Great acting, Thought-provoking, Entertaining  Joanne 6087",""," February 9th, 2017","See it if you like the music of Carol King","Don't see it if No reason not to see it="
"732","90","Funny, Clever, Great acting, Entertaining, Great staging  Bekah W",""," February 9th, 2017","See it if You enjoy learning the history of popular songs and their writers while enjoying several laughs.","Don't see it if You don't like  oldies , you want a more thought-provoking show.="
"733","94","Funny, Great acting, Relevant, Entertaining, Great singing  Robin 11",""," February 9th, 2017","See it if you love Carole King's music and want to learn more of her story.","Don't see it if you don't like Carole King's music.="
"734","85","Clever, Delightful, Exquisite, Refreshing, Entertaining  Christiaan L",""," February 8th, 2017","See it if you like Carole King, liked Jersey Boys and other jukebox musicals","Don't see it if You don't like Carole King or jukebox musicals="
"735","83","Entertaining, Great singing, Great staging  Yocheved R",""," February 8th, 2017","See it if the power one woman can have if she has faith in herself and her own two hands. Carole King inspired me to work harder and be stronger","Don't see it if ;(="
"736","100","Absorbing, Clever, Delightful, Enchanting, Entertaining  Patricia F 2",""," February 6th, 2017","See it if Excellent more than I could have expected","Don't see it if If you don't like a great story="
"737","68","Disappointing, Cliched, Overrated, Fluffy  Paul 6294",""," February 5th, 2017","See it if You like Juke Box musicals that are written in  paint by the numbers  style, and like Carol King's music.","Don't see it if You like good singing (no one had a great voice). You like inventive musicals (this one was not).="
"738","90","Funny, Absorbing, Clever, Great acting, Intelligent  Mauritz M",""," February 5th, 2017","See it if You like to see a clever show about Carole King's struggles and rise to fame. Also, a jukebox musical withva decently written book!","Don't see it if You are not into this type of music or Carole King.="
"739","84","Funny, Delightful, Quirky, Entertaining, Great singing  Danielle A 7030",""," February 5th, 2017","See it if You are a fan of music of that time period","Don't see it if most of the references and allusions will go over your head="
"740","90","Delightful, Refreshing, Entertaining, Great singing, Great staging  DavidBMaletzky",""," January 31st, 2017","See it if entertaining. music is great.","Don't see it if if you dont like carol king="
"741","79","Funny, Romantic, Fluffy  Molly P",""," January 30th, 2017","See it if you're a fan of Carole King","Don't see it if you're not a fan of jukebox musicals.="
"742","75","Cliched, Dated, Entertaining, Great singing, Fluffy  Nancy 7027",""," January 27th, 2017","See it if You love Carol King, highlights of her music and life","Don't see it if You are tired of formulaic biopics="
"743","70","Delightful, Romantic, Cliched, Overrated, Great singing  Belinda W 6068",""," January 25th, 2017","See it if You're a fan of jukebox musicals. Great songs, well put together, but very formulaic. If you liked Jersey Boys, you'll love this.","Don't see it if You're looking for anything new, edgy, or creative.="
"744","93","Absorbing, Entertaining, Great singing  Claire M",""," January 25th, 2017","See it if you like Carole King and music from the sixties.","Don't see it if you don't like Carole King's style of music.="
"745","90","Funny, Delightful, Enchanting, Entertaining, Great singing  MovieKidMaverick",""," January 23rd, 2017","See it if U love music and love being thoroughly entertained","Don't see it if U don't like music and don't want to be entertained="
"746","92","Funny, Great acting, Dated, Entertaining, Great singing  Cynthia 6274",""," January 20th, 2017","See it if You love the music of Carol King and the groups she wrote for in the late 60s & 70s. This was very entertaining & the performers were great","Don't see it if If you don't like Carol Kings music.="
"747","79","Refreshing, Entertaining, Nostalgic, Fluffy, Unchallenging  Steven T 6134",""," January 8th, 2017","See it if You enjoy 2+ hours of very familiar songs, are a fan of Carole King and 60's music in general. You enjoy nice musicals with a narrative.","Don't see it if You insist on some/any subtlety. Pitch perfect quality singing is important to you. Ultra-mainstream is not your thing="
"748","69","Funny, Disappointing, Entertaining, Great singing, Jukebox  Jackie 10",""," January 7th, 2017","See it if If you're a fan of Carole King and her music, you'll love this fun and colorful concert of her greatest hits.","Don't see it if If you look for well-paced and emotionally compelling narratives, this isn't for you. King's life story takes back-seat and the plot is weak="
"749","88","Delightful, Great writing, Great singing  MD23",""," January 6th, 2017","See it if You enjoy Carole King's music, as well as the music from that era. You want to see the story of Carole King's life put to music she wrote.","Don't see it if You don't like music from this era, or jukebox musicals.="
"750","93","Funny, Clever, Delightful, Exquisite, Great acting  HonoluluK",""," January 4th, 2017","See it if looking for something different.","Don't see it if you don't like musicals with lots of women="
"751","85","Funny, Clever, Delightful, Dated, Entertaining  Barbara 6297",""," January 3rd, 2017","See it if You are a fan of Carole King and music from the 60's and 70's. Singing was great. This show is strictly about the music.","Don't see it if you want to see a serious, in depth show. I would have liked to have seen more about her life and accomplishments.="
"752","85","Absorbing, Enchanting, Great acting  Kevin W 6160",""," December 30th, 2016","See it if you like Carole King's music. You want great performances. You like biographical shows/movies.","Don't see it if if you hate Carole King's music. You hate biographies.=Also I didn't know Carole King's music prior to seeing the show and I was surprised by how much I liked it. It truly is an all-ages musical....<U+00A0>Read more Read less="
