"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"53","35","Upstage-Downstage","Howard Miller","April 24th, 2017","A frenetic work that tries, with mixed success, to capture the elusive blend of darkish humor and redemption that made the movie a lasting pleasure...Rapid-fire action on a very busy multi-turntable set cannot cover up the clumsy crudeness of the enterprise...The character of Phil is so off-putting for so long, that his turnaround is a matter of too little, too late...The level of frat boy humor is simply not funny or clever or wry or ironic; it is simply unpleasant.",""
"54","55","Woman Around Town","Alix Cohen","April 25th, 2017","<U+201C>Karl holds the piece together with unflagging charisma<U+2026>Writer Danny Rubin maintains his hero<U+2019>s dark disposition and wit, Rita<U+2019>s resistance, and the loopy friendliness of townspeople...Now for the disappointing and unfortunately prevailing Column B...Songwriter Tim Minchin offers mostly tuneless numbers with prose that unsuccessfully fights to fit music. Though lyrics can be extremely clever, they don<U+2019>t sing<U+2026>The only person with developed personality traits is Connors.",""
"55","80","NY1","Roma Torre","April 18th, 2017","Under Warchus' inventive direction, the show moves at a seamless clip, yet the pacing on that busy set with its five turntables can seem frantic and redundant in spots, bordering on tedium...The performances are all fine...But this one belongs almost entirely to Andy Karl. He enters the ranks of Broadway's best leading men with warmth, charm and charisma to spare...As long as Karl remains front and center, the forecast for this 'Groundhog Day' looks pretty bright!",""
"56","70","Theater Pizzazz","Sandi Durell","April 22nd, 2017","<U+201C>Director Warchus knowingly creates rings of excitement, producing high-energy movement as the cast whirls and twirls<U+2026>However, the repetition of Phil waking up each day to repeat the same 24 hours...wears thin and monotonous, added to by an overlong first act<U+2026>The production heavily relies on one person, Andy Karl...Karl has that ability to take an unlikable character and emerge as the charming leading man he is; his vocal presence along with comic timing, amazing.",""
"57","70","NJ.com","Christopher Kelly","April 18th, 2017","That the musical held together<U+2014>at least enough to make me eager to see it again once its lead actor is fully back to form<U+2014>is a testament to Karl's star presence and to the enduring strength of the source material...Minchin's music is another matter, often feeling pasted into the proceedings as opposed to growing organically out of the moment...It's a sweet, charming and engaging show. Here's hoping it hangs around long enough to realize its full potential.",""
"58","90","Theatre is Easy","Regina Robbins","April 18th, 2017","A brilliant creative team and an outstanding leading man make this musical version of the beloved <U+2018>90s movie an experience you<U+2019>ll be happy to repeat...Warchus<U+2019> staging is a marvel...It<U+2019>s safe to say there<U+2019>s no current Broadway cast having more fun than this one...The show works. It gives restless audience members plenty of razzmatazz, while drawing in the more pensive ones with its surprisingly complex critique of American culture and our search for meaning in the modern world.",""
"59","40","The Washington Post","Peter Marks","April 18th, 2017","The stage tricks employed to get us through the elaborate plot are consistently amazing. And the evening<U+2019>s star, Andy Karl, is unassailably polished and even downright intrepid...But this seriously overlong stage version is enveloped in a cloud of charmlessness that never fully lifts, and ultimately confers on the production a sense of frenzied mechanical blandness. Add to this the undistinguished score by Tim Minchin.",""
"60","65","Towleroad","Naveen Kumar","April 18th, 2017"," An ambitious but disjointed new musical...If watching Karl bristle and turn his nose up at a fun-house parody of small-town America doesn<U+2019>t sound like a great time to you, you may want to sit out act one<U+2014>'Groundhog Day<U+2019>s' perfectly enjoyable second half might even make more sense to you that way...Once the show lurches past its repetitive and busy setup, the pleasures of director Matthew Warchus<U+2019> imaginative staging are easier to appreciate.",""
"61","75","Out Magazine","Michael Musto","April 24th, 2017","This would seem like an impossible project to musicalize, but they<U+2019>ve managed it with humor and charm. The numbers are cleverly done, there<U+2019>s lots of well-staged physical action and stagecraft...Act One is better than Act Two<U+2014>the long-simmering romance becomes a bit strained<U+2014>and there are a couple of songs by minor characters that don<U+2019>t gel, but the show is novel and Karl is not only nervy, he<U+2019>s a delightful leading man.",""
"62","40","DC Metro Theater Arts","Richard Seff","April 28th, 2017","This expansive musical adaptation of the movie is more successful at flinging out technical fireworks than offering interesting characters...I could not rustle up more than mild curiosity about Phil and his love Rita. Karl and Doss play these two with good looks, considerable charm, and fine voices that beg for melodies that are simply not there...The play<U+2019>s the thing, and so is the score, and for me, despite the excellent production they<U+2019>ve been given, they were disappointing.",""
"63","80","Musical Theater Review","Ron Cohen","April 25th, 2017","Karl handles the intricacies of Minchin<U+2019>s lyric-heavy, not-so-melodic score with impressive ease; moves with grace or comedic flair; and delivers comic lines with panache...Director Warchus and choreographer Darling have melded their company into an energized ensemble, ripping with high spirits through the ever-increasingly frantic and darker replays of the story...Unfortunately, the book is somewhat undermined by the cartoonish costuming and playing of minor roles.",""
"64","85","StageZine","David NouNou","April 23rd, 2017","A winning combination that keeps giving, and giving, and giving, and giving...Just like the clever spinning set by Rob Howell, Matthew Warchus keeps the story line spinning cleverly with so many brilliant touches. Suffice it to say it keeps up with the movie. The fireworks that burst from the stage are nothing more than the vibrant talents of Andy Karl. He is a one-man irresistible dynamo.",""
"65","90","The Stage (UK)","Mark Shenton","April 18th, 2017","Tim Minchin<U+2019>s musical is as hilarious as it is bracing. Matthew Warchus' production has only grown in vividness and confidence since its premiere at the Old Vic last summer...Warchus and his expert collaborators have brought a finely tuned balance of Broadway-scale polish and an English-infused ironic pathos to the show that makes its constant repetitions worth revisiting.",""
"66","65","BroadwaySelect","Peter Filichia","April 17th, 2017","The new show occasionally augments but more often muddies what the movie did so well...Despite Minchin<U+2019>s occasional triteness, he emerges as half a Sondheim. Like the master, his lyrics more often have an abundance of fresh images and cleverness...But...he doesn<U+2019>t care a whit about finding perfect rhymes...Andy Karl gives a solid as Phil...'Groundhog Day' may be a disappointment to rabid fans of the film. Even in this guise, however, it can still inspire.",""
"67","65","Theatre Reviews by John Clum","John Clum","April 20th, 2017","The book is clever but the show depends more on visual magic than dialogue. Tim Minchin's lyrics are always witty. His best tunes are in the second act...Is there any other musical in which the second act is stronger than the first ...The first act seemed frenetic and heartless...The second act slows down enough for characters to establish themselves in solid songs...Until Act II it all seems as heartless as its central character. Clever, yes. Spectacular, yes. It's also a bit exhausting.",""
"68","60","Los Angeles Times","Charles McNulty","April 18th, 2017","'Groundhog Day' has the narrative makings of a successful musical comedy. So what<U+2019>s gone wrong <U+2014>or should I say only half right ...Matthew Warchus finds clever theatrical solutions to deal with the inherently cinematic nature of the material...The fundamental problem with the show has to do with the monotony of musical storytelling...'Groundhog Day' is ultimately a vehicle for Karl<U+2019>s virtuosity...Let<U+2019>s hope fate eventually frees him up for a more satisfying musical.",""
"69","35","Peconic Public Broadcasting","David Richardson","April 18th, 2017","The most confusing nonsensical musical I have ever seen...The first act is so dismal you may want to grab your hat at intermission. The second act, at least, is way better, in fact, much, much better than the first, so I guess you had better stick around to watch it. There is only one good reason to get tickets for this show which I would think would be readily available at TKTS, and that is to see and hear Barrett Doss.",""
"70","60","Paste Magazine","Chris Kompanek","May 5th, 2017","<U+201C>The real problem is translating the repetitive mechanism that drives the film<U+2026>Rubin<U+2019>s book delivers the film<U+2019>s signature sarcasm but stumbles when it tries to make Phil<U+2019>s love interest, Rita, a more feminist character<U+2026>Compounding the problem is an utter lack of chemistry between her and Karl...Despite all its missteps and inadequacies <U+2018>Groundhog Day,<U+2019> is easy to watch, with occasional flourishes of brilliance that remind us how much better the show could be.<U+201D>",""
"71","80","Labor Press","Leonard Golubchick","April 20th, 2017","A wonderful experience...Matthew Warchus the director brings the show together to the delight of the audience...Andy Karl provides us with a Tony-worthy performance. He is absolutely brilliant and does it all which brings humanity to a difficult role...Mr. Karl<U+2019>s stage presence and charisma carry the show...A fun evening but definitely keeping the show at an hour and a half would certainly be an enhancement.",""
"72","75","LI Herald","Elyse Trevers","April 30th, 2017","Karl is a fine singer and performer. As his love interest, Rita (Barrett Doss), does a good job, especially since Phil is always our focal point. She<U+2019>s got a lovely singing voice and is a solid performer...Director Matthew Warchus deftly moves his performers around so the audience gets the sense of repetition but not of boredom. The show is cleverly done...Tim Minchin's music is tuneful and some of the lyrics are extremely clever. However, a couple of songs don<U+2019>t add much to the show.",""
"73","80","Stage Buddy","PJ Grisar","April 17th, 2017","Its treatment of the source material is duly deferential and just different enough...True to Minchin<U+2019>s stand-up background, his lyrics are clever and often Sondheimian in their rhyme scheme. Only one tune feels gratuitous and out-of-place...The book by original screenwriter Danny Rubin wisely doesn<U+2019>t interfere much with the baroque construction of the film, but is punched up and updated unobtrusively...'Groundhog Day<U+2019>s' a bright spot.",""
"74","85","Parade","Janice Kaplan","April 20th, 2017","This smart and fast-paced show does the amazing feat of taking a beloved story and making it better...Karl brings an undercurrent of joy and energy to the enterprise...This fun, funny and colorful show is also complex. Composer and lyricist Tim Minchin brings a modern insight and smart, edgy sensibility to the story. The cleverness of the lyrics is a constant surprise...If there is justice and good taste in the world, 'Groundhog Day' will play forever.",""
"75","90","Entertainment Weekly","Chris Nashawaty","April 17th, 2017","Wonderfully inventive...A giddy highlight of the current Broadway season...It takes Karl all of five minutes to win you over completely (resist as you might)...At times, 'Groundhog Day' feels more like a plate-spinning magic trick than a Broadway musical...Spectacle is fine, but none of it much matters if the basics of the show don<U+2019>t work. Thankfully, they do...Manages to hold onto everything that made Ramis<U+2019> movie such a classic and adds songs bound to become nearly as memorable.",""
"76","99","Clever, Must see, Great writing, Great staging, Andy karl  Michael E 6126",""," April 19th, 2017","See it if You want to be one of the 1st kids on your block to be able to see you saw the next great smash it musical on Broadway. And Andy Karl!!","Don't see it if You have no sense of humor, no ear for clever lyrics, didn't like the movie, don't think anyone can top Bill Murray, don't like to laugh.=Also Went in w/ a  prove it  attitude. The movie Groundhog Day with Bill Murray is a classic + bears up to (you should pardon the expression) - repeated viewings. And I've seen it a bunch of times. This DID seem like it was ripe for a musical (some movie conversions do not) and with Danny Rubin (one of the movies 2 screenwriters) and Tim Minchin's lyrics and Matthew Warchus directing - what did I have to lose  It was so much fun that I needed to warm up my cheeks from the smile which was frozen there. BEFORE the curtain goes up - a riotous multi-screen intro to the snarky lead - Phil Connors - pissed off weatherman - played to perfection by Andy Karl (after Legally Blonde, Rocky + On the 20th Century - this should put him over the top as Broadway leading man royalty) had the audience in hysterics. It never lets up. Breakaway sets, rotating turntables on stage, a wonderful book and score and see-it-to-believe it staging of musical numbers - most fun (more) I've had since  Something Rotten ....<U+00A0>Read more Read less="
"77","80","Delightful, Great writing, Entertaining, Witty, Great staging  Nicole A",""," April 19th, 2017","See it if you enjoy witty dialogue and lyrics. you want to see Andy Karl shine in a brilliant performance. you are looking for light entertainment","Don't see it if you are super attached to the movie. you are looking for a deep, meaningful show, or show-stopping big numbers. you dislike repetition="
"78","77","Cliched, Dated, Entertaining, Cute, Sexist  dreammaker",""," April 19th, 2017","See it if 1. You want to see the most amazing performance by Andy Karl! 2. You want to see inventive scenic elements - that cost a fortune!","Don't see it if You are bothered by a media personality who feels entitled to harass women at work - and there are no consequences.="
"79","77","Clever, Dizzying, Quirky, Entertaining, Great staging  Hannah 29",""," April 18th, 2017","See it if you want to see what will surely be the Tony-winning set design; if you like Andy Karl/Tim Minchin; Andy really is AMAZING in this.","Don't see it if you don't like your musicals with a bit of irreverence and bite; this is sly & clever but somewhat light. Totally enjoyable, not very deep.="
"80","83","Funny, Clever, Dizzying, Quirky, Riveting  StinkyLulu",""," April 18th, 2017","See it if you want to see a truly clever riff on a beloved movie; if you want to see the funniest drunken car chase in Broadway musical history","Don't see it if you don't like musicals where a whole lot of everything is happening pretty much all the time; if you want to see a Bill Murray impression="
"81","84","Ambitious, Delightful, Refreshing, Resonant  Ellis Bell",""," April 18th, 2017","See it if you like the premise of deciding how to live your best life told with wit and humor and fun staging. Bit of darkness. Great lead actor.","Don't see it if dislike film to stage.Ugh:pink and blue people, lack of Sonny/Cher. Peeve: Fix Western PA accent! It's not Fargo(Mrs. Lancaster) or US South="
"82","80","Funny, Clever, Enchanting, Great acting, Great staging  Brian C",""," April 17th, 2017","See it if You want to see stagecraft brilliantly used to enhance a story. Andy Karl plays the laughs beautifully.","Don't see it if You want to hear a great score. Not one song was as good as the staging or performances.="
"83","100","Clever, Delightful, Dizzying, Enchanting, Great staging  Carl W",""," May 8th, 2017","See it if You like great acting, witty dialogue, brilliant staging, clever lyrics and insightful story telling. One of the most exciting shows on now.","Don't see it if You are easily offended, hate the genius of Andy Karl and are just plain churlish.="
"84","75","Quirky, Disappointing, Slow  Krloz Ruben",""," May 8th, 2017","See it if I actually thought I'd be launching my AO; but it was nothing like that. I gave it 75 because it was still a great effort. Andy Karl <U+0001F44C>","Don't see it if You expect the best night at the theatre. Mostly due to its hype.="
"85","69","Funny, Clever, Great acting, Overrated, Great staging  Don_B",""," May 8th, 2017","See it if You loved the movie & that's it. Besides Andy Karl, who's excellent, the show is just only OK. The story tedious; the music unmemorable.","Don't see it if You don't like silly musicals. There are elements that are funny, but it just didn't do it for me. I didn't hate it, I just was a lil' bored="
"86","89","Funny, Clever, Great acting, Great singing, Great staging  Dana O",""," May 8th, 2017","See it if you want to see a very funny, clever and creative show. Andy Karl and the entire cast will blow you away.","Don't see it if want a more serious musical.="
"87","85","Funny, Clever, Quirky, Great staging, Fluffy  FrancescaNYC",""," May 8th, 2017","See it if ...you want to be entertained. Andy Karl is terrific! Great special effects - especially the car chase. Talented ensemble.","Don't see it if ...you don't like movies that become Broadway shows. I generally don't but wanted to see Andy Karl.="
"88","80","Funny, Entertaining, Great staging  Terri 6090",""," May 8th, 2017","See it if It was a really fun show. If u enjoy laughing and I thought the acting was good. It was entertaining <U+0001F600>","Don't see it if If you don't like comedy.="
"89","92","Clever, Delightful, Great staging  Dean 6088",""," May 8th, 2017","See it if Fun show.","Don't see it if You didn't like the movie.="
"90","55","Flat, Ambitious, Disappointing, Fluffy, Crowd-pleasing  Drew 7022",""," May 7th, 2017","See it if you're obsessed with the movie and don't mind that this time around, the main character is more of a jerk (despite the charms of Andy Karl).","Don't see it if to you, musicals mean big dance numbers (there's only one), catchy tunes (there really aren't any) or chemistry between the two main leads.="
"91","90","Clever, Enchanting, Quirky, Hilarious, Great staging  Christa S",""," May 7th, 2017","See it if you love traditional musicals, enjoy great staging, liked the movie","Don't see it if you aren't interested in musicals, want to see something more cutting edge, don't like to laugh."
"92","80","Clever, Delightful, Refreshing, Hilarious, Entertaining  Tracy 19",""," May 6th, 2017","See it if You enjoyed the movie. The writing and staging is great.","Don't see it if You want thought provoking deep shows.="
"93","80","Clever, Delightful, Quirky, Entertaining, Great direction  MarinaM",""," May 6th, 2017","See it if you want a feel-good, family show! Beautiful sets, great direction, clever book, and the two leads are great!!","Don't see it if you want a memorable score or don't like big ensembles--there are very few solos in the show, it's mostly chorus singing & dancing!="
"94","90","Funny, Great acting, Thought-provoking, Must see, Great staging  Carolina M",""," May 5th, 2017","See it if you want to see a funny and entertaining musical with a great cast.","Don't see it if you don't like seeing the same scenes multiple times, even if with slight changes (some lines from the supporting cast remain the same)."
