"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"67","86","Ambitious, Clever, Great writing, Great singing, Great staging  Ashowgoer",""," July 2nd, 2016","See it if You like original, creatively staged indie rock musicals based on classic stories (along the lines of Spring Awakening and Rent).","Don't see it if You're into bigger, flashier Broadway fare as opposed to small, chamber-like pieces.="
"68","83","Enchanting, Great staging  banksdn",""," July 1st, 2016","See it if you enjoy new takes on old stories","Don't see it if you want tap dancing and flash="
"69","95","Ambitious, Delightful, Must see, Great singing, Great staging  THEATER LOVER 4 EVER",""," June 29th, 2016","See it if You love an original musical with a terrifc score and singers. Rachel Chavkin is a genius. NYTW does it again with a memorable production.","Don't see it if You only like Broadway musicals.="
"70","80","Absorbing, Great acting, Masterful, Relevant, Great singing  dreammaker",""," June 28th, 2016","See it if You are a fan of Rachel C. . . (the director of Natasha . .  Comet) You appreciate amazing story telling in the form of a musical.","Don't see it if You don't have any interest in Greek Mythology or creative story telling.="
"71","85","Ambitious, Exquisite, Masterful  Petewk87",""," June 27th, 2016","See it if Extremely talented musicians and vocalists. Intimate and brilliant staging. Evocative score. Immersive and stimulating experience overall.","Don't see it if Familiarity with the myth would be helpful.="
"72","81","Original, Entertaining, Great singing  Frank 4",""," June 27th, 2016","See it if Like off Broadway original musicals and in this case a nice audience seating layout","Don't see it if Your not interested in down home country music="
"73","83","Clever, Enchanting, Great singing, Immersive, Great cast  StinkyLulu",""," June 26th, 2016","See it if you delight in fresh & innovative telling of a familiar tale; if you want to hear thrilling stage singing; if you're up for an adventure.","Don't see it if mythopoetic archetypal oft-told tales bore you; if you prefer nuanced character arcs & surprising storylines; if you need a proscenium arch.="
"74","87","Original, Clever, Entertaining, Great singing, Sometimes trying a little too hard.  Mary M 2",""," June 26th, 2016","See it if You want a modern take on the Orpheus myth. You want a high-energy show with really good music. You enjoy folk & Cajun music.","Don't see it if You want a traditional take on Greek myths. You prefer traditional theater seating. You don't like folk or Cajun music.="
"75","88","Absorbing, Great singing, Stylized, Intimate  Kate FC",""," June 25th, 2016","See it if You like close harmonies in a folksy, bluesy take on a classic tragedy. Could see this transferring successfully.","Don't see it if You want high production value, comfortable chairs, or an original reimagining.="
"76","86","Enchanting, Resonant, Great singing, Great staging  J 6",""," June 25th, 2016","See it if You love the the style of music. If you like creatively staged theatre that gives a new spin on old stories.","Don't see it if you don't like sung-through shows. The plot is pretty simple, but there are moments when it isn't clear what exactly is happening="
"77","97","Epic, Exquisite, Great writing, Great singing, Great staging  Curious",""," June 25th, 2016","See it if you're a fan of director Rachel Chavkin (Great Comet), or ambitious new musical theatre in general.","Don't see it if you want to miss out on the best new musical of the season.="
"78","86","Absorbing, Great acting, Entertaining, Great music, Great staging  Jess for short",""," June 22nd, 2016","See it if you want to see a well-staged retelling of a classic Greek myth with phenomenal music and a fantastic cast.","Don't see it if you aren't interested in Greek mythology or if you listened to and disliked the concept album.="
"79","98","Enchanting, Intelligent, Relevant, Romantic, Great singing  argonaut",""," June 20th, 2016","See it if you want to fall in love with a gorgeous, melancholy, lush, and trenchant musical about love, money, and American myths.","Don't see it if you need jazz hands in a musical="
"80","90","Absorbing, Ambitious, Great acting, Must see, Entertaining  jane 6048",""," June 20th, 2016","See it if You like to be provoked. Patrick Page alone is worth the price of admission","Don't see it if You can't make your way to NYTW.="
"81","86","Absorbing, Masterful, Entertaining, Great staging, Awesome performances  Bette T",""," June 18th, 2016","See it if enjoy original shows with top notch performances and music.","Don't see it if I say just see.="
"82","92","Ambitious, Must see, Entertaining, Great singing, Great staging  Bill 8",""," June 17th, 2016","See it if you love wonderful harmonies and terrific staging.  They tell the story clearly and there are quite  a few stunning moments.","Don't see it if you only want conventional theatre and prefer dialogue in your musicals.  This is almost entirely sung through.="
"83","81","Ambitious, Quirky, Entertaining, Great singing, Great staging  Joseph 2",""," June 12th, 2016","See it if enjoy inventive, immersive musical stagings and excellent performances.","Don't see it if you prefer musicals that have a strong story and well-defined characters.="
"84","90","Enchanting, Riveting, Great singing, Soulful  jufu",""," June 11th, 2016","See it if Enjoy inventive takes on classic myths, appreciate folk, hot jazz, and close harmony in theater, Amber Gray, overall meritocratic casting","Don't see it if Can't forgive false/forced rhymes, prefer splashy production value musicals, only like happy, entertaining fare="
"85","85","Enchanting, Entertaining, Great staging  Tsar",""," June 11th, 2016","See it if you want to see a refreshing  and engaging musical; a modern and current take to the Greek Myth.","Don't see it if some uneven acting.="
"86","96","Ambitious, Edgy, Profound, Great singing, Great staging  Emily 6111",""," June 10th, 2016","See it if You like bluegrass, folk, jazz; smart staging and bright performances","Don't see it if You need a happy ending - spoiler alert.="
"87","93","Clever, Enchanting, Intelligent, Masterful, Relevant  DD",""," June 10th, 2016","See it if You enjoy relevant insightful approach to age old myths and how they relate to today's world","Don't see it if You are looking for a traditional musical comedy type of show="
"88","80","Ambitious, Enchanting, Confusing  Tony 3",""," June 10th, 2016","See it if a classical song cycle is your preferred evening out","Don't see it if you would rather enjoy something with dialogue="
"89","90","Absorbing, Delightful, Great acting, Thought-provoking, Great singing  Marvin 2",""," June 10th, 2016","See it if love classical theater contemporized with great music and voices. Several breakout performances.","Don't see it if you are not into greek tragedy contemporized="
"90","70","Dizzying, Great acting, Indulgent, Disappointing, Cliched  Jish",""," June 10th, 2016","See it if you really like the concept album it is based on, there are definitely some great songs.","Don't see it if you are expecting a play.="
"91","95","Riveting, Chilling lyrics which mirror political climate, Soulful retelling of greek myths, Stunning reconfiguration of theatre to create dynamic staging, Superb casting and acting  Marlene 5",""," June 9th, 2016","See it if You liked the direction of The Royale, want to see something fresh, engaging and pure delight.","Don't see it if You don't like musicals, don't come to the theatre to engage or be entertained.="
"92","90","Original, Exquisite, Masterful, Great singing, Great staging  Buzzy",""," June 9th, 2016","See it if you enjoy truly original works.  A folk opera that is full of wonderful music and brilliant direction.  NYTW at its best!","Don't see it if you do not like  sung-through  musicals with operatic dimensions in total accessible music.="
"93","97","Clever, Enchanting, Great acting, Great singing, Great staging  M 608343",""," June 8th, 2016","See it if you love musicals that are sung through but not operatic.Thoroughly enjoyed it. Staging is riveting. The performances will amaze you.","Don't see it if you...actually I can't imagine anyone who wouldn't want to see this. I loved every second of it.Delightful.="
"94","72","Enchanting, Great acting, Quirky, Indulgent, Cliched  Jeff S",""," June 8th, 2016","See it if you haven't seen a show with innovative staging before or want to see some great performances in a so-so piece.","Don't see it if you need more than a concept album put directly on stage, and you've seen this bag of tricks before.="
"95","80","Original, Absorbing, Great acting, Refreshing, Entertaining  JackB",""," June 5th, 2016","See it if you want to see a strong piece of theatre","Don't see it if you don't seem interested by the subject matter="
"96","95","Original, Great acting, Great writing, Great singing, Great staging  Donald 9",""," June 5th, 2016","See it if NYTW has done it again. A break-thorough show that is moving and totally engaging. A great cast...a great score.","Don't see it if Everyone should see it!~="
"97","96","Masterful, Must see, Resonant, Great singing, Great staging  BeatnikPlaywright",""," June 4th, 2016","See it if You love new vibrant original musicals with heart, soul, and brains. You want to see a cast and band that leaves it all on stage.","Don't see it if You hate life itself.="
"98","96","Original, Absorbing, Intelligent, Resonant, Great singing  JANET Z 6156",""," June 4th, 2016","See it if A beautifully acted and directed show with an excellent cast and music.  It's original even if it retells an accent tale.  What a wonderful","Don't see it if You only want to see mediocrity="
"99","85","Ambitious, Entertaining, Great singing, Stunning staging  Robbie",""," June 1st, 2016","See it if you want to see how Rachel Chavkin takes a concept album and magically turns it into a show. Amber Gray steals the show!","Don't see it if you are not into indie-folk music. Or if you do not like a sung-through show.="
"100","82","Immersive, Heavenly staging, Hellish dramaturgy, Conflict-free zone  Places Please",""," June 1st, 2016","See it if you can go to town on an enjoyable score performed by a talented Hadeful 8 in a gloriously immersive, gorgeously designed setting.","Don't see it if the fuzzy presentational storytelling betrays the show's origins as a CD. A song in each act to deepen the lead pair's bond would fix much.="
"101","70","Romantic, Disappointing, Slow, Entertaining, Great singing  Ricky D 6094",""," May 31st, 2016","See it if you like reimagined old tales told through contemporary music.","Don't see it if you have a short attention span or if you want character development through dialogue (for which there was practically none).="
"102","86","Original, Ambitious, Clever, Enchanting, Great staging  Randy",""," May 30th, 2016","See it if You like musicals that are inventive in both staging and concept.","Don't see it if Southern infused folk/jazz music is not your thing.="
"103","85","Original, Refreshing, Entertaining, Great music, Great singing  Wish I Could See Them All",""," May 30th, 2016","See it if You enjoy original music in an intimate setting, along with fun staging and storytelling.  I loved the harmonies by the 3 Fates.","Don't see it if You are looking for something deeper.="
"104","94","Absorbing, Ambitious, Enchanting, Entertaining, Great singing  Sarah Mac NYC",""," May 29th, 2016","See it if You want to catch a new musical before it's moved to Bway-which this prob will. A New Orleans beat/vibe helps make every note worthwhile.","Don't see it if U prefer your musicals with a classic staging. This is the story of Orpheus & Eurydice-& netherworld of Hades. If U need cheery, this isnt.="
"105","89","Original, Enchanting, Refreshing  Laura 36",""," May 29th, 2016","See it if myths aside, the romantic gesture is alive and well, and accompanied by all sorts of Louisiana music styles in entrancing new musical form.","Don't see it if you don't have a heart.  It works as social commentary, love story, musical theatre, that whatever you like, this will have it.="
"106","79","Original, Resonant, Romantic, Entertaining, Great singing  Susan C",""," May 28th, 2016","See it if Great music and musical performances.  Inventive staging, and they gave me a glass of champagne!  Compelling story.  Surprisingly relevant.","Don't see it if Faulty acoustics made it hard to discern the lyrics in parts.  The story was sometimes hard to follow.="
"107","75","Original, Ambitious, Thought-provoking, Overrated  Roger 6083",""," May 28th, 2016","See it if You like different. Interesting staging. If you liked ONCE you will like this. band on stage main character sings with guitar. P Page super.","Don't see it if You want the  accurate  story of Orpheus. Repetitious. Originally an album turned into performance. Overrated show.="
"108","79","Original, Clever, Great staging  DeeCee",""," May 27th, 2016","See it if you are a Patrick Page fan. He was deliciously evil & smooth. The staging was original, and I liked that the cast moved around the audience.","Don't see it if you like comfortable chairs, other than hard wooden kitchen chairs...="
"109","83","Original, Great singing, Great staging  Molly 2",""," May 26th, 2016","See it if You like Greek myths retold and reimagined. Singing was superb. Great attention to detail in references to myths. Stellar performances","Don't see it if You like narrative advanced in dialogue rather than music.="
"110","97","Must see, Riveting, Great singing, Great staging, Unique  Linda 22",""," May 25th, 2016","See it if You love great singing,dancing,musicians,musical scores,riveting love stories,Greek mythology,unique staging PATRICK PAGE!!!! FLAWLESS","Don't see it if You are too conventional to enjoy innovative theatre Hated Once Do not believe in Hades Dislike sitting on wooden chairs with a thin pad="
"111","93","Absorbing, Enchanting, Exquisite, Resonant, Great staging  Er S",""," March 15th, 2017","See it if you like to see something creative with wonderful music and a touching story. And you want to witness an adventure through fluid movements.","Don't see it if you have no interest in mythology or folk music.=Also This is one of the most unforgettable theatre experiences I had. It still resonants with me to this day....<U+00A0>Read more Read less"
"112","64","Clever, Enchanting, Indulgent, Slow  Zacharyyy",""," December 3rd, 2016","See it if you enjoy the live indie music scene.","Don't see it if you want lose yourself in a rich story.="
