"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"354","80","During previews Absorbing, Great acting, Intelligent, Masterful, Entertaining  Hopalong",""," March 15th, 2017","See it if You appreciate great classics from Arthur Miller. The cast is great.The interactions between Ruffalo and Shalhoub are worth the ticket price","Don't see it if Plays involving family dynamics and long standing disputes are not for you. This is a play that requires your complete attention.="
"355","83","During previews Even less than major arthur miller is better than most other plays; and oh that acting!  Bruce 6",""," March 15th, 2017","See it if Miller is an unmatched prose stylist; first act is hilarious, second moving; best acting ensemble on Broadway; DeVito steals the show","Don't see it if there are inconsistencies & other problems in the script that muddle the conflicts; too melodramatic; still a very powerful show=Also The  price  has many meanings in this multi-layered play: (1) the price to be paid for used furniture that is a central plot point; (2) the price one brother paid in sacrificing his career for his family; (3) the price the other brother paid in sacrificing his family for his career; and (4) the philosophical point - whether determining the price/value of anything is knowable or is subjective, just a matter of which narrative you believe....<U+00A0>Read more Read less="
"356","75","During previews Ambitious, Intelligent, Disappointing, Slow, Miscast  Joseph 2",""," March 15th, 2017","See it if you'd like to see a less familiar Arthur Miller play even in a miscast and misdirected production","Don't see it if you've seen another production of the play or have no interest in which family member rehash conflicts from the past.=Also Danny DeVito is wonderful in a supporting role. Unfortunately, all three leads seem miscast or misdirected....<U+00A0>Read more Read less="
"357","75","During previews Disappointing, Cliched, Slow  Michael.T",""," March 14th, 2017","See it if Old plays that are monetary-based (plot-wise) interest you. The set is beautiful and DeVito is giving a hilarious performance.","Don't see it if you are looking for a great performance from Ruffalo, whose acting like he's still onscreen. Or if long monologues and dialogue bore you="
"358","70","During previews Funny, Absorbing, Intelligent, Slow, Entertaining  CelsoM",""," March 14th, 2017","See it if You want to see an allstar cast, are in the mood for som serious subject matter that deals with sacrifice.","Don't see it if If you are looking for something more upbeat.=Also Danny Devito and Tony Shalhoub were great in their roles. Mark Ruffalo had some really great moments. But his acting was overshadowed by a really horrible accent that just made it difficult to understand him at some points....<U+00A0>Read more Read less="
"359","88","During previews Absorbing, Great acting, Intelligent, Thought-provoking, Great staging  Chris aka Nini",""," March 12th, 2017","See it if you enjoy small ensembles giving strong performances of well-developed characters; if you enjoy family drama","Don't see it if you're looking for an evening of light theater; if you prefer large casts or musicals="
"360","40","During previews Confusing, Disappointing, Underwhelming acting  Benway",""," March 12th, 2017","See it if you want to see all your favorite celebrities mumble.","Don't see it if you want to see a less cluttered execution of a stronger play.="
"361","80","During previews Funny, Absorbing, Great acting, Relevant, Slow  Baxter",""," March 10th, 2017","See it if you want to see some Arthur Miller performed by a great cast.","Don't see it if you have a hard time focusing on long monologues.=Also The house staff here is not great... a man in front of me literally shouted  Thank you, Mr. Trump,  and they did nothing......<U+00A0>Read more Read less="
"362","86","During previews Absorbing, Great acting, Great writing  TR",""," March 10th, 2017","See it if you like Miller (I left The Crucible at intermission but loved this) or great acting in a difficult (I'd imagine) play to act","Don't see it if you're looking for light entertainment. This is an exquisite piece of writing w/ a riveting family story heroically acted.="
"363","90","During previews Absorbing, Intelligent, Thought-provoking, Resonant, Great writing  Gil K",""," March 9th, 2017","See it if another outstanding Miller play. Hecht, Shalhoub and DeVito are great. DeVito Likely to get a Tony nomination. Great set.","Don't see it if Ruffalo is really disappointing. Play lolls at a couple of places but builds to a great end.=Also Ruffalo's character is supposed to have been raised with a silver spoon and taken fencing at college. Yet, he has managed to develop a Brooklyn Italian accent and stance in just a couple of decades. What !Add to it the countless missed lines when the rest of the cast is impeccable and top notch....<U+00A0>Read more Read less="
"364","83","During previews Great acting, Relevant, Resonant, Cliched, Slow  Hawkeye",""," March 8th, 2017","See it if You like Arthur Miller and would like to see his works. The performances are great, and can be intense at certain points.","Don't see it if You don't like slow narratives. The story should be told more effectively. I mean, the climax in Act 2 shouldn't come that late.="
"365","67","During previews Thought-provoking, Slow, Fine, Lesser miller, Variably acted  JimDM",""," March 8th, 2017","See it if You're a die-hard Miller fan or love Tony Shalhoub (who fares best). Or are looking for and old-fashioned family drama.","Don't see it if You're expecting fireworks. The cast seems to still be finding their way late in previews, and it just feels a bit flat.="
"366","67","During previews Disappointing, Dated  Molly 2",""," March 7th, 2017","See it if You want to complete your personal Arthur Miller cycle. Or, as I did, for Mark Ruffalo. That's where the disappointment came in though.","Don't see it if Acting styles didn't mesh. It was like the three bears. DeVito was too soft, Ruffalo was too hard and Shaloub was just right="
"367","78","During previews Funny, Thought-provoking, Entertaining  Member 712651",""," March 6th, 2017","See it if you want good ensemble acting that unfolds about a family at odds. DeVito worth the ticket.","Don't see it if you've got Ruffalo expectations. Seems he's still working on playing a nyc cop. Performance felt stilted.="
"368","78","During previews Absorbing, Ambitious, Great acting, Great staging, Repetitive  frontmezzjunkie",""," March 5th, 2017","See it if you want to see some great actors working with Miller's lesser known play. Danny DeVito steals it almost all away.","Don't see it if you want a light evening. these brothers have a long way around trying to work out some old history.="
"369","85","During previews Great acting, Thought-provoking, Resonant, Great writing, Entertaining  Brendon NYC",""," March 5th, 2017","See it if Engrossing, relatable, realistic story w/ great performances. DeVito commands the stage like a Bway vet! Millers words as always are A+","Don't see it if Ruffalo is the weak link here. Lucky for us he has three amazing actors playing opposite him.="
"370","90","During previews Great acting, Masterful, Terrific version of not one of arthur miller's best works  Mama Rose",""," March 4th, 2017","See it if You love a great ensemble. Every cast member cast was outstanding! Both Ruffalo &Shaloub make their characters real people & sympathetic.","Don't see it if You aren't a fan of the play. This is by far the best production of it I've ever seen, but I think it's one of Arthur Miller's weaker works.="
"371","82","During previews Great acting, Intelligent, Great writing  Sophia C",""," March 3rd, 2017","See it if you like Arthur Miller. Great acting and writing.","Don't see it if The set is very big and busy for such a small play (few actors).="
"372","85","During previews Great acting, Intense, Great staging, Dialogue driven, Hecht is breathtaking  AmyAmyAmy63",""," March 3rd, 2017","See it if you want to see Ruffalo give a masterful performance that builds slowly to a heartbreaking crescendo, along with fantastic performances","Don't see it if by Hecht, Shalhoub and DeVito. They are all perfect. Hecht especially is nuanced, fragile and fierce. I had to work a little to stay focused=Also ... on the dialogue, which is dense and circular. I can understand why this show is rarely performed, but this production is the best that I could imagine. Gorgeous set, too....<U+00A0>Read more Read less="
"373","75","During previews Great acting, Intelligent, Relevant, Great writing, Slow  Hannah 29",""," March 2nd, 2017","See it if you prefer Death of a Salesman to The Crucible; if you want to see an incredible performance by Danny Devito and Mark Ruffalo.","Don't see it if you're uninterested in family dramas set in the first half of the 20th century; if you need flashy sets and lots of excitement.="
"374","71","During previews Thought-provoking, Great writing, Banal, Disappointing, Slow  Jennzy",""," March 2nd, 2017","See it if You want to see a Arthur miller play on broadway and star studded cast.","Don't see it if you want to sleep mid way through it="
"375","85","During previews Funny, Great writing, Entertaining, Great staging  Shari L",""," February 28th, 2017","See it if you enjoy Arthur Miller plays, enjoy family drama, want to see the chemistry of Ruffalo, DeVito, Shalhoup & Hecht & like fast paced dialogue","Don't see it if you don't like plays,Arthur Miller,family drama,all-star casts, bad Yiddish accent by DeVito & sometimes Ruffalo mumbles or slurs dialogue.=Also I found Ruffalo hard to understand at the beginning of the show but that did improve with time although a couple of times toward the end of the second act, as he got emotional, it became difficult again. DeVito's Yiddish accent comes in and out and having had grandparents with Yiddish accents, this became a distraction for me. He was funny and did the best he could but I found it distracting none the less. Jessica Hecht was good but having just seen her as Golde in Fiddler, her character seemed as if she could have been Golde's great granddaughter. She didn't seem to bring anything new to this character other than being a little more modern. Great chemistry though and all in all I enjoyed it....<U+00A0>Read more Read less="
"376","90","During previews Ambitious, Great acting, Intelligent, Must see, Entertaining  Susan HW",""," February 27th, 2017","See it if You enjoy Arthur Miller plays, great acting & family dramas.","Don't see it if N/A="
"377","81","During previews Absorbing, Great acting, Intense, Thought-provoking  Bette T",""," February 27th, 2017","See it if enjoy intense family drama's Arthur Miller style performed by a top notch cast.","Don't see it if you are looking for for something light hearted.="
"378","65","During previews Disappointing, Slow, Dated, Great acting, except for danny devito, Lesser miller  Mary M 2",""," February 26th, 2017","See it if You want to see a star cast. You're a Miller completist & want to see all his work.","Don't see it if You want to see a good Miller play. You're expecting a good performance from Danny DeVito .=Also What a disappointment! There's a wisp of a story & the dialogue goes in circles. Act 1 is excruciating, though Act 2 is much better. Danny DeVito is TERRIBLE! His character & performance add nothing to the play & it's better when he's not in the room. The other 3 do the best possible w/what they have to work with, though it's a bad showcase for them....<U+00A0>Read more Read less="
"379","45","During previews Disappointing, Overrated, Badly directed  Eleanor 2",""," February 25th, 2017","See it if seeing all Miller's work is important despite the poor quality of the production. This important playwright deserves better.","Don't see it if Poorly delivered dialogue, mostly mumbled, and over the top stereotyping of characters (all of them), bothers you.  Star  names add zilch.=Also A lost opportunity to breathe new insights into a play that could say much about our current, challenging political environment (whatever your politics)....<U+00A0>Read more Read less="
"380","87","During previews Absorbing, Great acting, Intelligent, Thought-provoking, Profound  PATRICIA 3",""," February 25th, 2017","See it if you enjoy a fantastic ensemble of actors in a well crafted, if somewhat old fashioned show. Miller is Miller. We know what to expect.","Don't see it if you are easily bored by a talky drama with lots of angst; you dislike Miller's style of writing and don't care who is performing.="
"381","87","During previews Great writing, Great staging, 1st act","comedy, 2nd act","","On"," February 24th, 2017=See it if MarkRuffalo,TonyShaloub,DannyDeVito,JesssicaHecht & ArthurMiller get you excited about going to the theatre, 1st rate production + humour=Don't see it if Arthur Miller scares you, family drama makes you leary, you'll never see another of  his  plays after you experienced Death of a Salesman=Also My only other experience with THE PRICE was a 1970 community theatre production at #WaukeshaCivicTheatre [WIS] attended by theatre legends #AlfredLunt & #LynnFontanne who were great supporters of the arts in #WaukeshaCounty. They sat in the front row of the 136 seat theatre & were highly appreciative. Lunt commented  such concentration  as he passed thru the lobby with Lynn on their way to the awaiting Bentley to take them back to Ten Chimneys in Genessee Depot....<U+00A0>Read more Read less="
"382","67","During previews Banal, Disappointing, Cliched, Overrated, Slow  Marianne 6282",""," February 23rd, 2017","See it if you need to see every Miller play ever written. If you want to watch people talk at each other but communicate not at all","Don't see it if you want to be engaged and challenged by growth and development of characters="
"383","75","During previews Great acting, Masterful, Great writing, Entertaining, Great staging  ELON 6085",""," February 23rd, 2017","See it if Want an old school gr8 production with gr8 performances by all the actors. Bit long but not boring.","Don't see it if You cannot take 2 hours and 10 minute's in the theater and do not like pieces set in the past.="
"384","90","During previews Great acting, Slow, Great sets, Beautiful light  Elisha",""," February 22nd, 2017","See it if You are interested in seeing one of Miller's less produced plays. Like older plays that resonate with a modern audience","Don't see it if A small cast and a story about family conflict doesn't appeal to you=Also The second act is longer and slower than the first, but the whole thing is beautifully done...<U+00A0>Read more Read less="
